# Table from Clouard and Bonneville, GSA Spec Paper, 2005 (their table 2)
# 1/24/2007:	Modified Hawaii-Emperor data to account for Sharp & Clague, 2006, Science
#		Commented out Yuriyaku which is clearly too young.
#		Added Tokelau and Gilbert ages from Koppers and Staudigel, 2005, Science
# 1/28/2008:	Added updated values from Koppers et al, 2003 GGG, and Mahoney et al, 2005 for Shatsky
# 9/15/2008:	New prelim ages for Samoa from Koppers et al, 2008 [Now commented out]
# 6/14/2012:	New ages for Samoa from Koppers et al., 2011a
# 6/14/2012:	New ages for Louisville from Koppers et al., 2011b
#		Sites with more than one distinct ages are named NAME-A, NAME-B, with A youngest
# 9/22/2013:	New ages for Hawaii from O'Connor et al., 2013
#
#Lon	Lat	Average_age(Ma)	Average_error(Ma)	Tag	Name(island,seamount,plateau_or_sample)	Island_or_seamount_chain
#-------------------------------AUSTRAL---------------------------------
194.90	31.63	91.50	0.49	Mahler			MU	Musician
197.70	31.22	89.70	0.60	Brahms			MU	Musician
196.63	29.33	84.50	1.50	Rachmaninoff		MU	Musician
198.00	29.00	84.40	1.50	Liszt			MU	Musician
197.80	28.10	82.25	2.51	Khatchaturian		MU	Musician
198.80	26.63	75.10	1.20	Haydn			MU	Musician
201.17	26.58	74.51	1.51	Bach			MU	Musician
200.10	25.95	83.00	1.00	Schumann		MU	Musician
198.40	25.18	78.50	0.90	East_Mendelssohn	MU	Musician
198.05	25.13	82.38	1.26	West_Mendelssohn	MU	Musician
202.90	24.90	65.50	4.30	Paumakua		MU	Musician
#-------------------------------NECKER----------------------------------
192.10	21.50	82.40	3.70	Necker_Rise_(144D)	NR	Necker_Rise
#-------------------------------PITCAIRN--------------------------------
230.60	-25.33	0.001	0.001	Pitcairn_(hotspot)	PC	Pitcairn
229.90	-25.07	0.60	0.004	Pitcairn		PC	Pitcairn
221.30	-22.20	10.12	0.03	Fangataufa		PC	Pitcairn
225.00	-23.20	5.79	0.035	Gambier			PC	Pitcairn
221.00	-21.87	11.06	0.03	Moruroa			PC	Pitcairn
#-------------------------------PUKA-PUKA-------------------------------
219.00	-14.50	27.50	0.40	Napuka-19D		PP	Puka-Puka
221.50	-14.90	21.90	0.20	Pukapuka-18D		PP	Puka-Puka
225.00	-15.50	11.50	0.10	Wahoo-15D		PP	Puka-Puka
228.50	-16.00	12.90	0.30	13D			PP	Puka-Puka
234.00	-16.80	9.00	0.20	10D			PP	Puka-Puka
234.50	-16.40	9.00	0.50	9D			PP	Puka-Puka
237.50	-16.80	17.60	1.60	7D			PP	Puka-Puka
241.00	-17.00	7.40	0.70	4D			PP	Puka-Puka
241.50	-17.10	5.60	0.30	3D			PP	Puka-Puka
241.10	-17.40	7.10	0.40	2D			PP	Puka-Puka
#-------------------------------SAMOA-----------------------------------
175.00	-11.70	23.15	0.17	Alexa			SA	Samoa
185.38	-12.25	4.20	0.30	Field			SA	Samoa
182.60	-12.70	11.12	0.06	Combe			SA	Samoa
#@183.30	-13.10	0.82	0.03	Wallis		SA	Samoa
#@184.37	-13.00	1.62	0.05	Lalla-Rookh-A	SA	Samoa
184.37	-13.00	9.80	0.30	Lalla-Rookh-B		SA	Samoa
188.33	-14.00	2.26	0.04	Upolu			SA	Samoa
189.33	-14.30	1.19	0.02	Tutuila			SA	Samoa
190.40	-14.20	0.001	0.001	Manu'a			SA	Samoa
190.95	-14.20	0.001	0.001	Vailulu'u		SA	Samoa
#187.25	-13.95	4.10	0.11	Alia-D114		SA	Samoa
#187.10	-14.08	5.02	0.03	Alia-D115		SA	Samoa
#187.88	-13.26	4.80	0.06	Alia-D128		SA	Samoa
190.09	-14.10	 0.27	0.14	Alia-103-04		SA	Samoa
190.33	-14.17	 0.49	0.21	Alia-107-09		SA	Samoa
190.09	-14.10	 0.56	0.07	Alia-103-07		SA	Samoa
189.81	-14.02	 0.97	0.11	Alia-104-09		SA	Samoa
189.81	-14.02	 0.77	0.09	Alia-104-14		SA	Samoa
189.98	-14.65	 0.88	0.08	Alia-109-07		SA	Samoa
189.98	-14.65	 0.83	0.06	Alia-109-07		SA	Samoa
189.98	-14.65	 0.79	0.03	Alia-109-06		SA	Samoa
189.98	-14.65	 0.88	0.05	Alia-109-06		SA	Samoa
189.98	-14.65	 0.92	0.03	Alia-109-06		SA	Samoa
189.98	-14.65	 1.06	0.09	Alia-109-20		SA	Samoa
189.70	-14.47	 1.04	0.03	Alia-108-01		SA	Samoa
189.70	-14.47	 1.48	0.41	Alia-108-04		SA	Samoa
189.76	-13.77	 1.35	0.06	Alia-110-21		SA	Samoa
189.76	-13.77	 1.43	0.06	Alia-110-23		SA	Samoa
189.47	-13.75	 1.87	0.03	Alia-111-07		SA	Samoa
189.47	-13.75	 1.90	0.03	Alia-111-07		SA	Samoa
189.47	-13.75	 1.93	0.02	Alia-111-05		SA	Samoa
189.47	-13.75	 2.07	0.06	Alia-111-05		SA	Samoa
189.47	-13.75	 1.92	0.02	Alia-111-05		SA	Samoa
188.67	-14.43	 2.18	0.03	Alia-113-21		SA	Samoa
188.67	-14.43	 3.00	0.18	Alia-113-28		SA	Samoa
180.70	-13.30	 4.36	0.68	Alia-126-06		SA	Samoa
187.06	-14.09	 5.07	0.04	Alia-115-03		SA	Samoa
187.90	-13.21	 4.80	0.06	Alia-128-21		SA	Samoa
187.06	-14.09	 5.04	0.04	Alia-115-28		SA	Samoa
187.06	-14.09	 4.98	0.03	Alia-115-28		SA	Samoa
187.06	-14.09	 5.29	0.21	Alia-115-18		SA	Samoa
187.06	-14.09	 5.01	0.04	Alia-115-26		SA	Samoa
187.26	-13.98	 4.24	0.10	Alia-114-03		SA	Samoa
182.63	-12.75	 11.17	0.17	Alia-123-03		SA	Samoa
182.63	-12.75	 11.12	0.13	Alia-123-02		SA	Samoa
180.7 	-12.60	 12.92	0.12	Alia-124-11		SA	Samoa
180.7 	-12.60	 12.77	0.12	Alia-124-09		SA	Samoa
180.8 	-12.65	 12.94	0.13	Alia-125-29		SA	Samoa
180.8 	-12.65	 13.15	0.16	Alia-125-04		SA	Samoa
#-------------------------------SOCIETY---------------------------------
212.00	-17.90	0.06	0.001	Mehetia			SO	Society
211.16	-17.52	0.15	0.01	Teahitia		SO	Society
211.40	-17.64	0.18	0.001	Rocard			SO	Society
211.39	-17.35	0.16	0.04	Moua_Pihaa		SO	Society
210.60	-17.60	0.83	0.07	Tahiti-nui		SO	Society
210.50	-17.50	1.99	0.16	Tahiti-nui(submarine)	SO	Society
210.80	-17.80	0.54	0.001	Tahiti-iti		SO	Society
210.20	-17.50	1.49	0.01	Moorea			SO	Society
208.55	-16.80	2.47	0.01	Raiatea			SO	Society
209.00	-16.70	2.22	0.01	Huahine			SO	Society
207.75	-16.45	4.23	0.03	Maupiti			SO	Society
208.50	-16.60	2.88	0.01	Tahaa			SO	Society
208.25	-16.50	3.26	0.02	Bora_Bora		SO	Society
208.20	-16.25	3.66	0.13	Tupai			SO	Society
#-------------------------------TARAVA----------------------------------
208.50	-19.25	35.90	0.50	Ari'i_Moana		TA	Tarava
205.90	-18.95	43.50	0.60	Fafa_Piti		TA	Tarava
#-------------------------------TUAMOTU---------------------------------
211.00	-15.00	47.40	0.90	RD52-A			TU	Tuamotu
211.00	-15.00	41.80	0.90	RD52-B			TU	Tuamotu
#-------------------------------WENTWORTH-------------------------------
#182.15	26.50	86.35	0.57	KK71-20-8		WE	Wentworth
#182.25	31.10	93.40	0.60	KK71-65-24		WE	Wentworth
#179.50	33.20	87.12	0.45	DM23-1922		WE	Wentworth
#-------------------------------PLATEAU---------------------------------
153.00	12.00	114.65	3.22	EastMariana_(ODP802)	PL	Plateau
165.00	7.00	110.80	1.00	Nauru_(DSDP462)		PL	Plateau
158.50	-0.50	122.31	1.79	OntongJava_(DSDP289)	PL	Plateau
156.50	3.50	122.26	0.98	OntongJava_(ODP807)	PL	Plateau
160.50	2.50	88.20	1.10	OntongJava_(ODP803)	PL	Plateau
161.00	-8.50	122.80	2.65	OntongJava(Malaita)	PL	Plateau
152.00	22.00	160.19	0.69	Pigafetta(ODP801)	PL	Plateau
179.20	6.30	83.12	0.31	Hess(DSDP465A)		PL	Plateau
197.70	-11.00	106.00	3.50	Manihiki(DSDP317)	PL	Plateau
#-------------------------------GILBERT---------------------------------
# From Koppers and Staudigel, 2005, Science
#172.803	2.70	71.7	0.4	Burtaritari	BG	Gilbert
#172.862	2.49	69.6	0.6	Musina		BG	Gilbert
#173.268	0.78	66.8	0.5	Tofetolu	BG	Gilbert
#175.483	0.917	63.7	0.5	Palutu		BG	Gilbert
#175.728	1.14	65.7	0.7	Beru		BG	Gilbert
#175.343	1.347	65.3	0.5	Kautu		BG	Gilbert
#-------------------------------TOKELAU---------------------------------
#176.192	-1.073	70.0	0.5	Lelei		KU	Tokelau
175.417	-2.603	66.1	0.6	Siapo			KU	Tokelau
175.15	-2.782	66.4	0.6	Polo			KU	Tokelau
173.467	-6.698	61.3	0.6	Matai			KU	Tokelau
172.878	-8.272	58.4	0.3	Ufiata			KU	Tokelau
#-------------------------------SHATSKY---------------------------------
157	31.85	144.6	5	1213B			SS	Shatsky
#157	33	144	5	Shatsky_Rise_(M17R)	SS	Shatsky
163	42	139	5	Shatsky_Rise_(M14)	SS	Shatsky
165	42	131	5	Shatsky_Rise_(M4)	SS	Shatsky
